date,nov_load,ev_load,cov_load,orig_data
2020-12-05,427488046201440,66724414093209.59,97187950452674.44,TRUE
2020-12-06,472559009013720,68446331936330.39,103620969205141.16,NA
2020-12-07,517629971826000.06,70168249779451.195,110053987957607.86,TRUE
2020-12-08,594233564982840,56324269431518.4,89282687374954.02,NA
2020-12-09,670837158139680,42480289083585.6,68511386792300.18,TRUE
2020-12-10,745419378146400,79965947365948.81,34408963396150.09,NA
2020-12-11,820001598153120.1,117451605648312,306540000000,TRUE
2020-12-12,1141865225102160.2,109957758589692,62764208981315.7,NA
2020-12-13,1463728852051200.5,102463911531072,125221877962631.4,TRUE
2020-12-14,1171929303621720.2,102505473003024.02,114785002499128.4,NA
2020-12-15,880129755192240,102547034474976.03,104348127035625.4,TRUE
2020-12-16,828510036865560,87330918787912.81,112444059923769.5,NA
2020-12-17,776890318538880.1,72114803100849.61,120539992811913.6,TRUE
2020-12-18,698818778564760.1,58073820926612.41,102937295891052.31,NA
2020-12-19,620747238590640.1,44032838752375.195,85334598970191.02,TRUE
2020-12-20,940068800245320,69917325143187.59,76348197425202.67,NA
2020-12-21,12593903619e5,95801811533999.98,67361795880214.32,TRUE
2020-12-22,1167662893338e3,79118615679480,70948046718987.75,NA
2020-12-23,1075935424776e3,62435419824960,74534297557761.17,TRUE
2020-12-24,836987738970000,37909612676520,69194361911749.94,NA
2020-12-25,598040053164000.1,13383805528080,63854426265738.695,TRUE
2020-12-26,638514444762000,26028324733319.996,65337991779782.805,NA
2020-12-27,678988836360000,38672843938559.99,66821557293826.914,TRUE
2020-12-28,737199586692000,59164648676640,66145645497549.875,NA
2020-12-29,795410337024000,79656453414720,65469733701272.84,TRUE
2020-12-30,667145994840000,66339401656320,54503293328611.66,NA
2020-12-31,538881652656000.1,53022349897920,43536852955950.47,TRUE
2021-01-01,565968845592000,78169800187440,50458362908888.41,NA
2021-01-02,593056038528000,103317250476960.02,57379872861826.336,NA
2021-01-03,620143231464000,128464700766480.03,64301382814764.266,NA
2021-01-04,647230424399999.9,153612151056000.03,71222892767702.2,TRUE
2021-01-05,604661379840000,124470293500800.02,65573877387444.6,NA
2021-01-06,562092335280000,95328435945600,59924862007187,TRUE
2021-01-07,509507428524000,78515079055920,57511386984522,NA
2021-01-08,456922521767999.94,61701722166240,55097911961856.99,TRUE
2021-01-09,398458432284000,58848043896720,97209737827005.75,NA
2021-01-10,339994342800000,55994365627200.01,139321563692154.52,TRUE
2021-01-11,484832796012000,80862674293440.02,87195395996069.7,NA
2021-01-12,629671249224000,105730982959680.02,35069228299984.883,TRUE
2021-01-13,503863835110200,71390665316880,39468367758771.16,NA
2021-01-14,378056420996400,37050347674080,43867507217557.44,TRUE
2021-01-15,291906446548400,27649710017280,47120047929234.35,NA
2021-01-16,205756472100400,18249072360480,50372588640911.266,NA
2021-01-17,119606497652399.98,8848434703679.998,53625129352588.18,TRUE
2021-01-18,257129004418199.94,28866349315440,34693581781998.258,NA
2021-01-19,394651511183999.94,48884263927200,15762034211408.338,TRUE
2021-01-20,564386370743999.9,78831347072400,15030589362869.254,NA
2021-01-21,734121230303999.9,108778430217600,14299144514330.172,TRUE
2021-01-22,825250077539999.9,95903875538640,24214992854017.26,NA
2021-01-23,916378924776000,83029320859680,34130841193704.35,NA
2021-01-24,1007507772012e3,70154766180720.01,44046689533391.445,TRUE
2021-01-25,961857322261714.25,64883837927108.58,40625464673008.7,NA
2021-01-26,916206872511428.6,59612909673497.15,37204239812625.97,NA
2021-01-27,870556422761142.9,54341981419885.72,33783014952243.227,NA
2021-01-28,824905973010857.25,49071053166274.29,30361790091860.484,NA
2021-01-29,779255523260571.5,43800124912662.86,26940565231477.746,NA
2021-01-30,733605073510285.9,38529196659051.43,23519340371095.008,NA
2021-01-31,687954623760000.1,33258268405440,20098115510712.266,TRUE
2021-02-01,2274385635984e3,430204694119200.06,8093020181178.352,TRUE
2021-02-02,2325372001896e3,434172043047600,11028676898035.867,NA
2021-02-03,2376358367808000.5,438139391975999.94,13964333614893.38,TRUE
2021-02-04,2163975421608000.5,390363638389919.94,16921275841837.604,NA
2021-02-05,1951592475408000.2,342587884803840,19878218068781.824,NA
2021-02-06,1739209529208e3,294812131217760,22835160295726.047,NA
2021-02-07,1526826583008e3,247036377631680.03,25792102522670.27,TRUE
2021-02-08,16659173325e5,263694182665680,20785064617264.473,NA
2021-02-09,1805008081992000.2,280351987699680,15778026711858.678,TRUE
2021-02-10,1582022620836000.2,246522605088240,14058863996665.963,NA
2021-02-11,1359037159680000.2,212693222476800,12339701281473.248,TRUE
2021-02-12,1275435401318400.2,217565707544640,10605658389289.02,NA
2021-02-13,1191833642956800.2,222438192612480,8871615497104.79,TRUE
2021-02-14,1041117519361200.2,202537132218720,9112633024385.521,NA
2021-02-15,890401395765600.1,182636071824960,9353650551666.254,TRUE
2021-02-16,1159245785554800,231605738376479.97,11570234683005.832,NA
2021-02-17,1428090175344e3,280575404927999.94,13786818814345.408,TRUE
2021-02-18,1623200485992e3,275228051903999.97,12147458499349.094,NA
2021-02-19,1818310796639999.8,269880698880000,10508098184352.78,TRUE
2021-02-20,176969494392e4,189785176027200,9851025375163.422,NA
2021-02-21,17210790912e5,109689653174400.02,9193952565974.064,TRUE
2021-02-22,1572182982792e3,106084685013840,8536879756784.707,NA
2021-02-23,1423286874384000.2,102479716853280,7879806947595.35,TRUE
2021-02-24,985725042312000.1,102322302395040,8885239926060.432,NA
2021-02-25,548163210240000,102164887936800.02,9890672904525.514,TRUE
2021-02-26,663314180700000,122548558392000.03,11022179322215.172,NA
2021-02-27,778465151160000,142932228847200.03,12153685739904.832,TRUE
2021-02-28,1417084003908e3,206981772238800,12798637355282.496,NA
2021-03-01,2055702856656000.2,271031315630399.97,13443588970660.162,TRUE
2021-03-02,5107846849368e3,773492619837600,14088540586037.828,NA
2021-03-03,815999084208e4,1275953924044800,14733492201415.492,TRUE
2021-03-04,5641002450288e3,787591826798400,13432313575879.654,NA
2021-03-05,3122014058496e3,299229729551999.94,12131134950343.816,TRUE
2021-03-06,3101594825664e3,375335082158400,18857805720692.26,NA
2021-03-07,3081175592831999.5,451440434764800,25584476491040.707,TRUE
2021-03-08,2817057919872e3,404187893460000,21808495789644.812,NA
2021-03-09,2552940246912e3,356935352155200,18032515088248.92,TRUE
2021-03-10,3089812971456e3,363000665891314.25,19631677954176.54,NA
2021-03-11,3626685696e6,369065979627428.56,21230840820104.152,TRUE
2021-03-12,4512442714285714,469174855901142.9,17688689156675.07,NA
2021-03-13,5398199732571429,569283732174857.1,14146537493245.984,TRUE
2021-03-14,5069609898494748,565194755958201.6,14770580853447.549,NA
2021-03-15,4741020064418068,561105779741546.2,15394624213649.113,NA
2021-03-16,4412430230341387,557016803524890.75,16018667573850.676,NA
2021-03-17,4083840396264706,552927827308235.25,16642710934052.24,TRUE
2021-03-18,357452902935e4,682937163984705.9,19225653230525.543,NA
2021-03-19,3065217662435294,812946500661176.5,21808595526998.844,TRUE
2021-03-20,2677757508864706,645235838565882.4,24596108455256.684,NA
2021-03-21,2290297355294117.5,477525176470588.25,27383621383514.523,TRUE
2021-03-22,2543232830144118,407458594667647.1,26791051591627.562,NA
2021-03-23,2796168304994118,337392012864705.94,26198481799740.6,TRUE
2021-03-24,2789276136202941,302680233524117.7,34452042302570.926,NA
2021-03-25,2782383967411764,267968454183529.4,42705602805401.25,TRUE
2021-03-26,3260545967470587.5,243473825858823.53,47785817036403.71,NA
2021-03-27,3738707967529411,218979197534117.66,52866031267406.17,TRUE
2021-03-28,3242817795291176,229717729731176.5,44408258304499.03,NA
2021-03-29,2746927623052941,240456261928235.3,35950485341591.89,TRUE
2021-03-30,3376513375526470.5,210086176261764.75,35432644646676.53,NA
2021-03-31,4006099128e6,179716090595294.16,34914803951761.17,TRUE
2021-04-01,3814103017764706,165452305796470.62,36537787086201.85,NA
2021-04-02,3622106907529411.5,151188520997647.06,38160770220642.53,TRUE
2021-04-03,2682290981346170,168096395950156.56,34281617636485.18,NA
2021-04-04,1742475055162928.5,185004270902666.1,30402465052327.83,TRUE
2021-04-05,1769503461943229,128745437985274.22,38784902404475.81,NA
2021-04-06,1796531868723529.8,72486605067882.34,47167339756623.805,TRUE
2021-04-07,2194822941891176.5,127740687963352.94,43916605512424.69,NA
2021-04-08,2593114015058823.5,182994770858823.53,40665871268225.56,TRUE
2021-04-09,2521933517029412,195541998829411.78,44114696956216.2,NA
2021-04-10,2450753019e6,208089226800000.03,47563522644206.85,TRUE
2021-04-11,3084283018535294,409127315357647.1,61615339955761.95,NA
2021-04-12,3717813018070588,610165403915294.25,75667157267317.06,TRUE
2021-04-13,2863709229093575,650111549712689.5,61395059930558.78,NA
2021-04-14,2009605440116561.5,690057695510084.6,47122962593800.49,TRUE
2021-04-15,2263855247800293,695161961090371.25,49388272934591.89,NA
2021-04-16,2518105055484024,700266226670658,51653583275383.28,TRUE
2021-04-17,2351267192176294,551801424227591.25,43157228780117.4,NA
2021-04-18,2184429328868563.5,403336621784524.44,34660874284851.516,TRUE
2021-04-19,1606140251482395,263668005655793.12,30489912005846.945,NA
2021-04-20,1027851174096226.5,123999389527061.81,26318949726842.38,TRUE
2021-04-21,1431770403100663,131773207802362.45,32162999857420.953,NA
2021-04-22,1835689632105099.5,139547026077663.1,38007049987999.52,TRUE
2021-04-23,1748647849818186,121823798496503.38,35468545918597.5,NA
2021-04-24,1661606067531272.2,104100570915343.67,32930041849195.48,TRUE
2021-04-25,1815181968434749,96281233758728.34,30798934014420.21,NA
2021-04-26,1968757869338225.8,88461896602113.02,28667826179644.938,TRUE
2021-04-27,1594828733306658.5,99012556934127.53,24835069672091.492,NA
2021-04-28,1220899597275091.2,109563217266142.06,21002313164538.043,TRUE
2021-04-29,1971454493121880,119857834499339.9,25014108113717.53,NA
2021-04-30,2722009388968669,130152451732537.77,29025903062897.023,TRUE
2021-05-01,2563100615254594,86396495277010.05,28102925170375.258,NA
2021-05-02,2404191841540519.5,42640538821482.336,27179947277853.49,TRUE
2021-05-03,1574557820213687,42132244558346.625,25152121078178.914,NA
2021-05-04,744923798886854.25,41623950295210.92,23124294878504.34,TRUE
2021-05-05,813222337710578.75,64909213261744.16,20447837728790.254,NA
2021-05-06,881520876534303.1,88194476228277.39,17771380579076.168,TRUE
2021-05-07,944883751782812.25,70580399973328.48,22680854356288,NA
2021-05-08,1008246627031321.5,52966323718379.57,27590328133499.836,TRUE
2021-05-09,739141975189673.75,42709202804978.25,18295970692506.844,NA
2021-05-10,470037323348025.94,32452081891576.92,9001613251513.85,TRUE
2021-05-11,834050444632336.5,65387118220409,10581053277419.602,NA
2021-05-12,1198063565916647,98322154549241.08,12160493303325.355,TRUE
2021-05-13,824302612308669,79756929078321.06,12443690251690.75,NA
2021-05-14,450541658700691.1,61191703607401.055,12726887200056.146,TRUE
2021-05-15,822786572434740.75,116257559144076.22,12981868450663.836,NA
2021-05-16,1195031486168790.2,171323414680751.38,13236849701271.525,TRUE
2021-05-17,923229049275603.75,147828810240107.12,13491830951879.215,NA
2021-05-18,651426612382417.4,124334205799462.9,13746812202486.904,TRUE
2021-05-19,679088657426618.25,126197862535685.47,12727286211176.99,NA
2021-05-20,706750702470819.25,128061519271908.03,11707760219867.074,NA
2021-05-21,734412747515020.25,129925176008130.61,10688234228557.16,NA
2021-05-22,762074792559221.1,131788832744353.17,9668708237247.246,TRUE
2021-05-23,658037782944808.75,90512653538521.66,8125615193328.786,NA
2021-05-24,554000773330396.5,49236474332690.16,6582522149410.326,TRUE
2021-05-25,535255688059180.8,69497418936524.17,8638287079024.147,NA
2021-05-26,516510602787965.1,89758363540358.19,10694052008637.969,TRUE
2021-05-27,512489636596243.44,72291541931200.47,10439161582210.701,NA
2021-05-28,508468670404521.75,54824720322042.766,10184271155783.434,TRUE
2021-05-29,527570597288053.4,54378755193712.125,8517617907617.023,NA
2021-05-30,546672524171584.94,53932790065381.484,6850964659450.612,TRUE
2021-05-31,525141349221833.25,64337606300083.84,5573441176634.242,NA
2021-06-01,503610174272081.6,74742422534786.2,4295917693817.8726,TRUE
2021-06-02,661651800541140.75,81216696404788.97,3223190023020.987,NA
2021-06-03,819693426810199.75,87690970274791.73,2150462352224.1013,TRUE
2021-06-04,732249755336524,95334201961737.06,1782785682448.2688,NA
2021-06-05,644806083862848.25,102977433648682.4,1415109012672.4363,TRUE
2021-06-06,733607802817976.25,112280419880001.66,2740349017658.7363,NA
2021-06-07,822409521773104.1,121583406111320.9,4065589022645.037,TRUE
2021-06-08,619660111753288.4,80399427457828.78,3468543922094.9595,NA
2021-06-09,416910701733472.6,39215448804336.664,2871498821544.882,TRUE
2021-06-10,370654014897951,56871404903507.45,4118176640405.911,NA
2021-06-11,324397328062429.44,74527361002678.23,5364854459266.94,TRUE
2021-06-12,280289754532171,88029949694848.53,5432597824620.807,NA
2021-06-13,236182181001912.56,101532538387018.84,5500341189974.674,TRUE
2021-06-14,247453793874789.8,90467234065628.4,4546442070822.326,NA
2021-06-15,258725406747667.1,79401929744237.95,3592542951669.9795,TRUE
2021-06-16,337513723061904.3,100633474411401.3,2819317413025.991,NA
2021-06-17,416302039376141.5,121865019078564.64,2046091874382.003,TRUE
2021-06-18,534124364369305.1,108103082173705.47,1896977622943.163,NA
2021-06-19,651946689362468.75,94341145268846.31,1747863371504.3232,TRUE
2021-06-20,676748130583524.25,170914167344372.6,1055208156340.397,NA
2021-06-21,701549571804579.9,247487189419898.88,362552941176.47064,TRUE
2021-06-22,808897409077930.5,203731916650815.88,1367964162405.8167,NA
2021-06-23,916245246351281.1,159976643881732.84,2373375383635.1626,TRUE
2021-06-24,782933537337320.9,203766985115214.12,2226405626190.316,NA
2021-06-25,649621828323360.6,247557326348695.38,2079435868745.469,TRUE
2021-06-26,768174329139714.75,183981098428359.22,1157842199078.6167,NA
2021-06-27,886726829956069,120404870508023.06,236248529411.7647,TRUE
2021-06-28,769742198156483.75,138920216180695.72,1730949865245.3152,NA
2021-06-29,652757566356898.5,157435561853368.38,3225651201078.8657,TRUE
2021-06-30,606606246996661.25,259734731318713.7,3812233950383.382,NA
2021-07-01,560454927636423.94,362033900784059,4398816699687.898,TRUE
2021-07-02,531068981414570.25,307112910731070.06,4129677577466.4033,NA
2021-07-03,501683035192716.6,252191920678081.12,3860538455244.908,TRUE
2021-07-04,512849675743646.7,263828875230876.8,4018824390550.0527,NA
2021-07-05,524016316294576.75,275465829783672.53,4177110325855.1978,TRUE
2021-07-06,727478279164981.9,343138027376768.56,2336269133515.834,NA
2021-07-07,930940242035387,410810224969864.56,495427941176.4706,TRUE
2021-07-08,812283585727173.75,333284190204523.1,13983273925061.404,NA
2021-07-09,693626929418960.6,255758155439181.7,27471119908946.336,TRUE
2021-07-10,538131869169015.4,286686479898154.8,19620710793364.1,NA
2021-07-11,382636808919070.06,317614804357127.94,11770301677781.863,TRUE
2021-07-12,265368199545710.3,222457283031986.94,6228908191832.108,NA
2021-07-13,148099590172350.56,127299761706845.9,687514705882.353,TRUE
2021-07-14,128994915554145.94,130955305921741.67,2144009833754.1768,NA
2021-07-15,109890240935941.3,134610850136637.44,3600504961626.0005,TRUE
2021-07-16,148079967438141.28,97594668083714.23,8024646832436.861,NA
2021-07-17,186269693940341.28,60578486030791.03,12448788703247.72,TRUE
2021-07-18,344924189757373.6,124218382162750.23,16538592956683.785,NA
2021-07-19,503578685574405.94,187858278294709.44,20628397210119.848,TRUE
2021-07-20,408246288044723.9,220271910620501.7,25694597388278.195,NA
2021-07-21,312913890515041.8,252685542946293.9,30760797566436.54,TRUE
2021-07-22,296895172539271.9,283265252264670.8,30346178098799.863,NA
2021-07-23,280876454563501.88,313844961583047.7,29931558631163.188,TRUE
2021-07-24,239451970594630.38,278459207378842,22464006121162.598,NA
2021-07-25,198027486625758.88,243073453174636.3,14996453611162.006,TRUE
2021-07-26,325930692771081.6,270376395998723.22,19512122859970.75,NA
2021-07-27,453833898916404.4,297679338822810.1,24027792108779.492,TRUE
2021-07-28,417915884713217.25,348181691705973.5,18336911170070.65,NA
2021-07-29,381997870510030.06,398684044589136.9,12646030231361.8,TRUE
2021-07-30,359200120209018.56,376983589091945.94,11386964782570.84,NA
2021-07-31,336402369908007.06,355283133594755,10127899333779.88,TRUE
2021-08-01,512799313879133.1,529276331533279.1,10041471240747.164,NA
2021-08-02,689196257850259.25,703269529471803.25,9955043147714.447,TRUE
2021-08-03,726643110039147,665401740462732.5,13100749926421.998,NA
2021-08-04,764089962228034.9,627533951453661.9,16246456705129.549,TRUE
2021-08-05,659090473015878.9,544121674296946.44,16148928860641.484,NA
2021-08-06,554090983803722.8,460709397140231,16051401016153.418,TRUE
2021-08-07,504456460602758.25,431719402093401.5,16339332208381.48,NA
2021-08-08,454821937401793.75,402729407046572.06,16627263400609.545,TRUE
2021-08-09,595170344528335,475987822930752.9,26505786455537.406,NA
2021-08-10,735518751654876.25,549246238814933.75,36384309510465.27,TRUE
2021-08-11,584363850129485,501690518024236.56,29568602808235.617,NA
2021-08-12,433208948604093.7,454134797233539.4,22752896106005.957,TRUE
2021-08-13,738936573103953.25,492061762929277.56,29144356460539.65,NA
2021-08-14,1044664197603812.6,529988728625015.75,35535816815073.336,TRUE
2021-08-15,1052977871784419.2,557718312837112.25,40995222644597.26,NA
2021-08-16,1061291545965026,585447897049208.75,46454628474121.18,TRUE
2021-08-17,1234355178103121,749849755194495.75,47968986366954.44,NA
2021-08-18,1407418810241216,914251613339782.75,49483344259787.695,TRUE
2021-08-19,1355284830254948.8,748351104979033.75,50666075740480.71,NA
2021-08-20,1303150850268681.5,582450596618284.6,51848807221173.73,TRUE
2021-08-21,1277013494681890,700426637385324,53098198361233.17,NA
2021-08-22,1250876139095098.8,818402678152363.25,54347589501292.62,TRUE
2021-08-23,1451207126587653.5,781611779482449.4,48323903980170.08,NA
2021-08-24,1651538114080208.5,744820880812535.5,42300218459047.54,TRUE
2021-08-25,1644472623149304,860131341375097,39306800221740.34,NA
2021-08-26,1637407132218399.2,975441801937658.6,36313381984433.15,TRUE
2021-08-27,1480872500545374,901172677802808.5,37979290015629.51,NA
2021-08-28,1324337868872348.8,826903553667958.25,39645198046825.87,TRUE
2021-08-29,1553189549108886.2,988426516306802.75,34296840447758.906,NA
2021-08-30,1782041229345423.8,1149949478945647.2,28948482848691.94,TRUE
2021-08-31,1547449611150008.5,892532157909994.75,58247941107575.08,NA
2021-09-01,1312857992954593.2,635114836874342.4,87547399366458.22,TRUE
2021-09-02,1483151258235293.8,647107734901940.25,57952125844858.98,NA
2021-09-03,1653444523515994.2,659100632929538,28356852323259.74,TRUE
2021-09-04,1851898163714781.5,563663036237996.5,29948400667372.93,NA
2021-09-05,2050351803913568.5,468225439546454.94,31539949011486.117,TRUE
2021-09-06,1555976165936636,430631475475833.94,29786845284084.71,NA
2021-09-07,1061600527959703.8,393037511405212.94,28033741556683.3,TRUE
2021-09-08,1196177704666163,374059668560830.7,31062807323451.027,NA
2021-09-09,1330754881372622.2,355081825716448.44,34091873090218.754,TRUE
2021-09-10,1556666944245881,413243698507876.5,29202574362018.4,TRUE
2021-09-11,1284088576602363.2,339941589524261.56,25933010337350.16,NA
2021-09-12,1011510208958845.5,266639480540646.62,22663446312681.92,TRUE
2021-09-13,962412141512774.5,235607119935394.4,19825202484651.402,NA
2021-09-14,913314074066703.5,204574759330142.2,16986958656620.88,TRUE
2021-09-15,1108530895998890.5,186329607616146.8,15436027835617.715,NA
2021-09-16,1303747717931077.5,168084455902151.4,13885097014614.549,TRUE
2021-09-17,1331281581894688.8,260615624127249.94,14756780741584.967,NA
2021-09-18,1358815445858300,353146792352348.44,15628464468555.385,TRUE
2021-09-19,1282746673494805.5,357309089224801.75,14392100468667.238,NA
2021-09-20,1206677901131310.8,361471386097255,13155736468779.09,NA
2021-09-21,1130609128767816.2,365633682969708.3,11919372468890.943,NA
2021-09-22,1054540356404321.6,369795979842161.6,10683008469002.797,TRUE
2021-09-23,1610980497320391.8,523601497041669.9,14103114588387.986,TRUE
2021-09-24,869957843944846.4,195137185299697.62,10379272026792.074,TRUE
2021-09-25,926734835371557.6,212061027906770.78,7213724441543.634,TRUE
2021-09-26,779459800595174.75,197197026641140.4,7335990440717.83,TRUE
2021-09-27,983604930420278.9,250120024173936.4,8717968803863.724,TRUE
2021-09-28,910411158313465.25,231399734046631,6912217086402.214,TRUE
2021-09-29,1040557656019118.9,262705972962574.94,12911167600172.318,TRUE
2021-09-30,795577492648410.5,156330692288398.34,13394163463841.514,TRUE
