date,nov_load,ev_load,cov_load,orig_data
2020-12-05,NA,NA,NA,TRUE
2020-12-06,NA,NA,NA,NA
2020-12-07,NA,NA,NA,TRUE
2020-12-08,NA,NA,NA,NA
2020-12-09,NA,NA,NA,TRUE
2020-12-10,NA,NA,NA,NA
2020-12-11,NA,NA,NA,TRUE
2020-12-12,NA,NA,NA,NA
2020-12-13,NA,NA,NA,TRUE
2020-12-14,NA,NA,NA,NA
2020-12-15,843279690827794.4,73293059851957.03,83523275000671.89,TRUE
2020-12-16,853328566949725.75,71355150834819.44,82006610301962.77,NA
2020-12-17,863158558728120.1,69937365692068.46,80254257353804.94,TRUE
2020-12-18,873614254674120.1,69413384687172.69,78163383903325.98,NA
2020-12-19,883194100961794.4,70524441067325.14,77029433728388.8,TRUE
2020-12-20,883018331280857.25,71660589285074.4,76362381658689.34,NA
2020-12-21,873183201495600.1,70377560834215.89,76797043066298.875,TRUE
2020-12-22,861086403754594.4,68506998669412.46,79185225109579.28,NA
2020-12-23,834952632965348.6,68190783997377.6,78928828151508.36,TRUE
2020-12-24,794781889127862.9,69428916818111.32,76027852192086.11,NA
2020-12-25,769796228212542.9,71862568153967.31,73953466014399.16,TRUE
2020-12-26,756678686529102.9,72906532869482.75,72107073174009.6,NA
2020-12-27,743992129310742.9,73287367019848.8,69606158987505.66,TRUE
2020-12-28,731259610738605.75,73592142065328.34,66604796805248.914,NA
2020-12-29,719740741367331.5,73764899267215.375,64326730903858.664,TRUE
2020-12-30,709155560114634.25,74470385226469.89,64892213706564.125,NA
2020-12-31,680580585950571.4,73807387154280,67890945433561.836,TRUE
2021-01-01,643696892336857.1,73095999666634.3,68835402581935.9,NA
2021-01-02,618078242617142.9,74363255251405.72,67126887419126.24,NA
2021-01-03,590836738347342.9,74789695512925.72,65457081238221.95,NA
2021-01-04,568982866062885.75,74748778131857.16,64251040538498.5,TRUE
2021-01-05,554405075271666.7,75428106917057.16,63454165379617.34,NA
2021-01-06,533797552763971.44,75057666327874.3,62741527134909.17,TRUE
2021-01-07,507160298539800,73637456364308.58,62113125804373.99,NA
2021-01-08,484299794622000,72194680204251.44,60615408484585.82,TRUE
2021-01-09,465216041010571.44,70729337847702.86,58248375175544.66,NA
2021-01-10,460322725577428.56,71324192391325.72,56368722605747.4,TRUE
2021-01-11,469619848322571.4,73979243835120,54976450775194.055,NA
2021-01-12,481966573653428.56,74823723613748.58,53726766486866.85,TRUE
2021-01-13,497362901569999.94,73857631727211.44,52619669740765.805,NA
2021-01-14,515808832072285.7,71080968175508.58,51655160536890.914,TRUE
2021-01-15,530791065303795.9,66855810407466.125,50198140151429.31,NA
2021-01-16,545626564954816.3,63767363558546.945,48847205028818.91,NA
2021-01-17,560315331025346.94,61815627628751.02,47602355169059.68,TRUE
2021-01-18,575334309334244.9,60413531157815.516,46309517221790.08,NA
2021-01-19,590683499881510.25,59561074145740.414,44968691187010.12,TRUE
2021-01-20,606642863749428.6,58593509991565.72,41459624641490.555,NA
2021-01-21,623212400938000,57510838695291.43,35782317585231.41,TRUE
2021-01-22,708429202841428.6,74146172972708.58,32015537784522.29,NA
2021-01-23,789176857730571.4,89786223453085.72,30870749622524.72,NA
2021-01-24,878343264049514.25,107250448532091.44,29656271806149.586,TRUE
2021-01-25,963387025983400,124074890947131.42,28373117931115.31,NA
2021-01-26,1042419694024333.4,139071946889348.56,27075887937760.426,NA
2021-01-27,1115441268172314.4,152241616358742.84,25764581826084.94,NA
2021-01-28,1182451748427343,163583899355314.28,24439199596088.848,NA
2021-01-29,1249536906907428.8,174766177133897.16,23776889254911.05,NA
2021-01-30,1316696743612571.5,185788449694491.44,23777650802551.543,NA
